ship	lat	lon	reported	ship_local_time
rt	21.7	-91.9	2026-09-14 17:04:40 UTC	2026-09-14 11:04:40 (UTC-6)
rt	27.82	-92.7	2026-09-14 20:08:53 UTC	2026-09-14 14:08:53 (UTC-6)
rt	25.55	-90.65	2026-09-15 00:37:27 UTC	2026-09-14 18:37:27 (UTC-6)
rt	25.55	-90.65	2026-09-15 13:15:14 UTC	2026-09-15 07:15:14 (UTC-6)
rt	24.0	-88.0	2026-09-15 18:47:18 UTC	2026-09-15 12:47:18 (UTC-6)
rt	23.9	-86.7	2026-09-17 01:59:32 UTC	2026-09-16 19:59:32 (UTC-6)
rt	23.9	-86.7	2026-09-17 13:14:14 UTC	2026-09-17 07:14:14 (UTC-6)
rt	20.75	-73.71	2026-09-19 05:00:53 UTC	2026-09-19 00:00:53 (UTC-5)
rt	20.01	-70.32	2026-09-19 12:17:41 UTC	2026-09-19 07:17:41 (UTC-5)
rt	20.01	-70.32	11.0	2026-09-19 12:20:50 UTC	2026-09-19 07:20:50 (UTC-5)
rt	20.05	-70.12	11.3	2026-09-20 16:18:47 UTC	2026-09-20 11:18:47 (UTC-5)
rt	18.24	-62.42	11.1	2026-09-21 14:43:05 UTC	2026-09-21 10:43:05 (UTC-4)
rt	18.25	-62.43	11.1	2026-09-22 03:36:03 UTC	2026-09-21 23:36:03 (UTC-4)
rt	18.23	-62.43	11.1	2026-09-23 12:50:39 UTC	2026-09-23 08:50:39 (UTC-4)
