# expname:   sweep_device_eff
# timestamp: 20260409_132700
# setting:   troposphere
# power:     (default per setting)
# device:    fluorescent
# override:  B_device_efficiency_multiplier = [1.0, 101.0, 201.0, 301.0, 401.0, 501.0, 601.0, 701.0, 801.0, 901.0]
# combos:    troposphere+nuclear+fluorescent, troposphere+nuclear+fluorescent, troposphere+nuclear+fluorescent, troposphere+nuclear+fluorescent  (+6 more)
# rows:      10
# cli:       --expname sweep_device_eff  --setting troposphere  --device fluorescent  --B_device_efficiency_multiplier [1.0,901.0,...]
#
setting	power	device	I_ch4_per_kwy	I_ch4_reference_concentration_ppb	I_co2e_ratio	I_credit_price_per_tonne_ch4	I_credit_price_per_tonne_co2e	B_cost_per_micronuke	B_device_efficiency_multiplier	B_engineering_improvement	B_nuclear_plant_output_wy	B_target_megatonnes	B_troposphere_volume_m3	B_wh_to_remove_1ppm_per_m3	B_years_to_run	P_device_efficiency_multiplier	P_effective_ch4_per_kwy	P_wh_to_remove_1ppm_raw	P_wy_needed	P_wy_to_remove_1ppm_raw	O_annual_cost	O_nukes_needed	O_nukes_raw	O_total_cost
troposphere	nuclear	fluorescent	3.0	2000	28	1200	100	20000000	1.0	10	30000000	100	1e+18	50	10	1.0	3.0	5e+19	570385580652521.1	5703855806525211.0	3802570537683.474	1901285.2688417372	190128526.8841737	38025705376834.74
troposphere	nuclear	fluorescent	3.0	2000	28	1200	100	20000000	101.0	10	30000000	100	1e+18	50	10	101.0	303.0	5e+19	5647381986658.625	5703855806525211.0	37649213244.39083	18824.606622195417	190128526.8841737	376492132443.9083
troposphere	nuclear	fluorescent	3.0	2000	28	1200	100	20000000	201.0	10	30000000	100	1e+18	50	10	201.0	603.0	5e+19	2837739207226.473	5703855806525211.0	18918261381.50982	9459.13069075491	190128526.8841737	189182613815.0982
troposphere	nuclear	fluorescent	3.0	2000	28	1200	100	20000000	301.0	10	30000000	100	1e+18	50	10	301.0	903.0	5e+19	1894968706486.7812	5703855806525211.0	12633124709.911877	6316.562354955938	190128526.8841737	126331247099.11876
troposphere	nuclear	fluorescent	3.0	2000	28	1200	100	20000000	401.0	10	30000000	100	1e+18	50	10	401.0	1203.0	5e+19	1422407931801.7983	5703855806525211.0	9482719545.345322	4741.359772672661	190128526.8841737	94827195453.45322
troposphere	nuclear	fluorescent	3.0	2000	28	1200	100	20000000	501.0	10	30000000	100	1e+18	50	10	501.0	1503.0	5e+19	1138494172959.124	5703855806525211.0	7589961153.060827	3794.9805765304136	190128526.8841737	75899611530.60828
troposphere	nuclear	fluorescent	3.0	2000	28	1200	100	20000000	601.0	10	30000000	100	1e+18	50	10	601.0	1803.0	5e+19	949060866310.3512	5703855806525211.0	6327072442.069008	3163.536221034504	190128526.8841737	63270724420.69008
troposphere	nuclear	fluorescent	3.0	2000	28	1200	100	20000000	701.0	10	30000000	100	1e+18	50	10	701.0	2103.0	5e+19	813674152143.3967	5703855806525211.0	5424494347.622644	2712.247173811322	190128526.8841737	54244943476.22645
troposphere	nuclear	fluorescent	3.0	2000	28	1200	100	20000000	801.0	10	30000000	100	1e+18	50	10	801.0	2403.0	5e+19	712091860989.4147	5703855806525211.0	4747279073.262765	2373.6395366313823	190128526.8841737	47472790732.62765
troposphere	nuclear	fluorescent	3.0	2000	28	1200	100	20000000	901.0	10	30000000	100	1e+18	50	10	901.0	2703.0	5e+19	633058358104.9069	5703855806525211.0	4220389054.032712	2110.194527016356	190128526.8841737	42203890540.32712
