# expname:   sweep_landfill_conc
# timestamp: 20260409_132700
# setting:   landfill
# power:     (default per setting)
# device:    fluorescent
# override:  B_landfill_ch4_concentration_ppm = [100.0, 200.0, 300.0, 400.0, 500.0, 600.0, 700.0, 800.0, 900.0, 1000.0]
# combos:    landfill+solar+fluorescent, landfill+solar+fluorescent, landfill+solar+fluorescent, landfill+solar+fluorescent  (+6 more)
# rows:      10
# cli:       --expname sweep_landfill_conc  --setting landfill  --device fluorescent  --B_landfill_ch4_concentration_ppm [100.0,1000.0,...]
#
setting	power	device	I_ch4_per_kwy	I_ch4_reference_concentration_ppb	I_co2e_ratio	I_credit_price_per_tonne_ch4	I_credit_price_per_tonne_co2e	B_device_efficiency_multiplier	B_landfill_ch4_concentration_ppm	B_landfill_construction_premium	B_landfill_nameplate_mw	B_solar_cap_cost_per_mw_nameplate	B_solar_land_use_acres_per_mw	B_solar_nameplate_mw	B_solar_nameplate_ratio	B_solar_panel_lifetime_years	P_annual_cost	P_concentration_factor	P_device_efficiency_multiplier	P_effective_ch4_per_kwy	P_energy_kwy	P_nameplate_mw	P_solar_construction_premium	O_acreage	O_capital_cost	O_ch4_converted_tonnes	O_co2e_converted_tonnes	O_cost_per_tonne_ch4	O_cost_per_tonne_co2e	O_net_ch4	O_net_co2e	O_revenue_ch4	O_revenue_co2e
landfill	solar	fluorescent	3.0	2000	28	1200	100	1.0	100.0	4	100	1000000	4	100	0.4	25	16000000.0	50.0	1.0	3.0	40000.0	100	4	400	400000000	6000000.0	168000000.0	2.6666666666666665	0.09523809523809523	7184000000.0	16784000000.0	7200000000.0	16800000000.0
landfill	solar	fluorescent	3.0	2000	28	1200	100	1.0	200.0	4	100	1000000	4	100	0.4	25	16000000.0	100.0	1.0	3.0	40000.0	100	4	400	400000000	12000000.0	336000000.0	1.3333333333333333	0.047619047619047616	14384000000.0	33584000000.0	14400000000.0	33600000000.0
landfill	solar	fluorescent	3.0	2000	28	1200	100	1.0	300.0	4	100	1000000	4	100	0.4	25	16000000.0	150.0	1.0	3.0	40000.0	100	4	400	400000000	18000000.0	504000000.0	0.8888888888888888	0.031746031746031744	21584000000.0	50384000000.0	21600000000.0	50400000000.0
landfill	solar	fluorescent	3.0	2000	28	1200	100	1.0	400.0	4	100	1000000	4	100	0.4	25	16000000.0	200.0	1.0	3.0	40000.0	100	4	400	400000000	24000000.0	672000000.0	0.6666666666666666	0.023809523809523808	28784000000.0	67184000000.0	28800000000.0	67200000000.0
landfill	solar	fluorescent	3.0	2000	28	1200	100	1.0	500.0	4	100	1000000	4	100	0.4	25	16000000.0	250.0	1.0	3.0	40000.0	100	4	400	400000000	30000000.0	840000000.0	0.5333333333333333	0.01904761904761905	35984000000.0	83984000000.0	36000000000.0	84000000000.0
landfill	solar	fluorescent	3.0	2000	28	1200	100	1.0	600.0	4	100	1000000	4	100	0.4	25	16000000.0	300.0	1.0	3.0	40000.0	100	4	400	400000000	36000000.0	1008000000.0	0.4444444444444444	0.015873015873015872	43184000000.0	100784000000.0	43200000000.0	100800000000.0
landfill	solar	fluorescent	3.0	2000	28	1200	100	1.0	700.0	4	100	1000000	4	100	0.4	25	16000000.0	350.0	1.0	3.0	40000.0	100	4	400	400000000	42000000.0	1176000000.0	0.38095238095238093	0.013605442176870748	50384000000.0	117584000000.0	50400000000.0	117600000000.0
landfill	solar	fluorescent	3.0	2000	28	1200	100	1.0	800.0	4	100	1000000	4	100	0.4	25	16000000.0	400.0	1.0	3.0	40000.0	100	4	400	400000000	48000000.0	1344000000.0	0.3333333333333333	0.011904761904761904	57584000000.0	134384000000.0	57600000000.0	134400000000.0
landfill	solar	fluorescent	3.0	2000	28	1200	100	1.0	900.0	4	100	1000000	4	100	0.4	25	16000000.0	450.0	1.0	3.0	40000.0	100	4	400	400000000	54000000.0	1512000000.0	0.2962962962962963	0.010582010582010581	64784000000.0	151184000000.0	64800000000.0	151200000000.0
landfill	solar	fluorescent	3.0	2000	28	1200	100	1.0	1000.0	4	100	1000000	4	100	0.4	25	16000000.0	500.0	1.0	3.0	40000.0	100	4	400	400000000	60000000.0	1680000000.0	0.26666666666666666	0.009523809523809525	71984000000.0	167984000000.0	72000000000.0	168000000000.0
